sedametro,sedametroname,avg_test_all,avg_test_ecd,avg_test_nec,metro_or_micro,perurban,perell,perspeced,pernam,perasn,perhsp,perblk,perwht,perecd,totenrl,perbaplus,perunemp,perpoverty
12060,"Atlanta-Sandy Springs-Roswell, GA",0.031465555,-0.334341057,0.515878246,Metro,8.7566185,6.8496904,10.92061,0.22397992,5.5770764,16.087755,39.271099,38.840092,55.675888,440366.7,35.904102,7.0604219,12.520677
12100,"Atlantic City-Hammonton, NJ",0.030508778,-0.237734956,0.334917635,Metro,11.087931,5.0957351,16.066786,0.12294499,8.6679783,25.96575,19.435827,45.807499,53.658688,19317.6,25.579056,8.8112211,12.433882
12140,"Auburn, IN",0.15393718,-0.104363185,0.365438934,Micro,0,1.0687108,15.575425,0.17719521,0.8601113,2.7893648,0.43471223,95.738617,44.23093,3397.8,16.940269,6.9858365,10.233251
12180,"Auburn, NY",-0.044731364,-0.394955551,0.218775955,Micro,0,0.322992,14.753513,0.26236862,0.73177212,3.1460304,4.3893347,91.47049,44.989819,4301.7,20.276602,6.11693,12.085855
12220,"Auburn-Opelika, AL",-0.036224342,-0.428382924,0.342896422,Metro,43.633598,1.5308965,8.2188921,0.22832444,3.6591303,4.1773014,31.02833,60.906918,47.986713,10338.9,32.158852,6.8270535,20.705927
12260,"Augusta-Richmond County, GA-SC",-0.212075067,-0.472273484,0.280888409,Metro,28.232372,1.9388299,10.069816,0.21343087,1.6271104,6.0320444,46.589607,45.537804,64.357071,42909.25,23.953705,8.165988,17.216906
12300,"Augusta-Waterville, ME",0.035819557,-0.227523572,0.27330452,Micro,0,0.79189873,15.676035,0.37412307,1.1032162,1.7700261,1.2581679,95.494469,47.765141,7919.15,26.039347,5.7677498,13.103765
12380,"Austin, MN",-0.02472268,-0.312882708,0.303650274,Micro,0,8.5756416,15.230693,0.2228618,3.2653966,21.115036,5.5030441,69.893661,52.33448,2805.3,18.841331,4.4237604,13.239614
12420,"Austin-Round Rock, TX",0.109235628,-0.330557713,0.504016629,Metro,42.525482,15.293916,9.4462643,0.31062305,5.2812281,46.677425,8.2688255,39.461899,48.1404,144962.9,41.290077,5.3709712,12.458745
12460,"Bainbridge, GA",-0.251514841,-0.337581598,0.307254082,Micro,0,3.2506731,10.613242,0.088258348,0.33850706,9.2385015,51.211487,39.123245,84.908928,2366.4,14.065502,5.5729947,23.321234
12540,"Bakersfield, CA",-0.487368081,-0.648002081,-0.030562431,Metro,42.26556,20.166725,9.7324829,0.61504596,3.7675948,64.262825,5.8720903,25.482447,73.749741,79748.75,15.377472,10.420702,21.182497
12580,"Baltimore-Columbia-Towson, MD",0.101180599,-0.415292513,0.499552244,Metro,26.12965,3.2510579,12.561032,0.33840373,6.080657,7.7065735,37.930702,47.943661,43.178093,174180.1,36.663292,5.9888659,9.9066582
12620,"Bangor, ME",0.158278407,-0.142145237,0.422742044,Metro,18.778862,0.49383691,16.24963,1.1383673,1.1118114,1.4349576,1.5095065,94.805359,46.61768,8849.5,25.039581,5.7374725,15.206233
12660,"Baraboo, WI",0.175527618,-0.15512454,0.40269461,Micro,0,2.9913514,14.368155,1.5935721,0.93849152,7.6408491,1.2230208,88.604065,40.708675,4267.7,21.731653,4.3674197,9.4379425
12680,"Bardstown, KY",-0.093629216,-0.324585631,0.228302973,Micro,0,1.1047025,15.129568,0.09195178,0.85958737,3.6258235,7.4413605,87.981277,57.907688,3192.5,19.53862,7.1190424,12.584763
12700,"Barnstable Town, MA",0.4079597,0.009891053,0.569552468,Metro,23.01767,2.9870317,16.470943,1.2265289,2.1154263,5.1708689,4.310782,87.176392,29.134121,11319.5,41.238884,5.2192941,6.7674227
